"iid","gender","condtn","round","order","pid","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field_cd","race","imprace","imprelig","from","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","match_es","satis_2","length","numdat_2","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","total","total2"
2,0,1,10,10,11,0,0.29,1,27,2,35,20,20,20,0,5,0,8,7,6,9,7,4,7,2,2,24,1,2,2,5,"Alabama",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,7,5,10,8,3,0,5,7,8,4,6,3,6,4,2,3,5,2,3,18.92,18.92,21.62,27.03,5.41,8.11,7,6,8,9,4,41,33
2,0,1,10,3,15,0,0.32,0,24,3,30,10,20,10,10,20,1,10,10,10,10,7,8,10,1,1,24,1,2,2,5,"Alabama",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,7,5,10,8,3,0,6,8,7,9,7,8,8,6,1,3,5,2,3,18.92,18.92,21.62,27.03,5.41,8.11,7,6,8,9,4,55,45
2,0,1,10,7,17,0,0.6,1,30,2,35,15,25,10,5,10,0,5,3,4,3,5,3,4,3,2,24,1,2,2,5,"Alabama",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,7,5,10,8,3,1,7,5,9,6,7,9,8,7,2,3,5,2,3,18.92,18.92,21.62,27.03,5.41,8.11,7,6,8,9,4,23,43
3,0,1,10,3,17,0,-0.26,1,30,2,35,15,25,10,5,10,0,6,3,5,4,5,4,2,2,2,25,2,2,8,4,"Connecticut",6,3,1,2,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,8,9,8,9,8,0,8,9,10,7,7,9,8,7,2,2,NA,NA,3,35,10,35,10,10,0,8,9,9,8,8,27,50
3,0,1,10,8,16,0,-0.3,1,25,2,50,0,30,10,0,10,1,7,6,6,6,6,6,6,7,2,25,2,2,8,4,"Connecticut",6,3,1,2,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,8,9,8,9,8,0,8,10,10,7,9,9,8,7,2,2,NA,NA,3,35,10,35,10,10,0,8,9,9,8,8,37,53
3,0,1,10,7,14,0,-0.04,1,23,2,30,5,15,40,5,5,1,7,9,8,8,8,8,7,7,2,25,2,2,8,4,"Connecticut",6,3,1,2,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,8,9,8,9,8,0,9,7,9,7,9,7,8,7,2,2,NA,NA,3,35,10,35,10,10,0,8,9,9,8,8,48,48
3,0,1,10,4,18,0,0.29,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,4,5,6,4,6,4,5,1,2,25,2,2,8,4,"Connecticut",6,3,1,2,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,8,9,8,9,8,0,7,9,9,8,9,7,8,7,2,2,NA,NA,3,35,10,35,10,10,0,8,9,9,8,8,29,49
3,0,1,10,10,19,0,-0.15,1,28,2,50,0,25,10,0,15,1,7,7,6,8,7,7,7,7,2,25,2,2,8,4,"Connecticut",6,3,1,2,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,8,9,8,9,8,0,9,9,9,9,9,9,9,7,2,2,NA,NA,3,35,10,35,10,10,0,8,9,9,8,8,42,54
3,0,1,10,6,11,0,-0.24,1,27,2,35,20,20,20,0,5,0,7,8,6,5,8,4,5,2,1,25,2,2,8,4,"Connecticut",6,3,1,2,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,8,9,8,9,8,0,7,9,10,7,8,9,8,7,1,2,NA,NA,3,35,10,35,10,10,0,8,9,9,8,8,38,50
3,0,1,10,1,20,0,-0.47,1,24,2,100,0,0,0,0,0,0,5,6,8,5,8,6,5,5,2,25,2,2,8,4,"Connecticut",6,3,1,2,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,8,9,8,9,8,0,8,7,9,7,9,7,8,7,2,2,NA,NA,3,35,10,35,10,10,0,8,9,9,8,8,38,47
3,0,1,10,9,15,0,-0.14,0,24,3,30,10,20,10,10,20,1,6,10,8,6,0,0,6,1,2,25,2,2,8,4,"Connecticut",6,3,1,2,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,8,9,8,9,8,0,9,10,10,10,10,10,9,7,2,2,NA,NA,3,35,10,35,10,10,0,8,9,9,8,8,30,59
3,0,1,10,2,13,0,0.09,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,25,2,2,8,4,"Connecticut",6,3,1,2,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,8,9,8,9,8,0,7,9,9,7,9,7,8,7,2,2,NA,NA,3,35,10,35,10,10,0,8,9,9,8,8,60,48
4,0,1,10,3,11,0,-0.18,1,27,2,35,20,20,20,0,5,0,6,7,8,7,7,5,6,3,2,23,1,2,1,1,"Texas",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,7,8,9,7,8,0,4,10,8,5,8,7,6,7,2,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,40,42
4,0,1,10,8,20,0,-0.19,1,24,2,100,0,0,0,0,0,0,7,8,8,7,8,7,7,7,2,23,1,2,1,1,"Texas",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,7,8,9,7,8,1,8,9,10,10,8,8,10,8,2,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,45,53
4,0,1,10,2,12,0,-0.18,1,22,2,60,0,0,40,0,0,0,6,5,10,6,6,5,6,3,1,23,1,2,1,1,"Texas",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,7,8,9,7,8,0,8,7,8,10,7,8,8,1,1,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,38,48
4,0,1,10,6,15,0,0.21,0,24,3,30,10,20,10,10,20,1,8,8,9,8,8,9,9,7,2,23,1,2,1,1,"Texas",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,7,8,9,7,8,0,6,9,8,9,8,9,7,7,2,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,50,49
4,0,1,10,4,14,1,-0.18,1,23,2,30,5,15,40,5,5,1,7,7,7,9,9,9,8,10,1,23,1,2,1,1,"Texas",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,7,8,9,7,8,1,8,10,7,10,7,10,8,10,1,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,48,52
4,0,1,10,7,19,1,-0.47,1,28,2,50,0,25,10,0,15,1,7,7,7,10,9,10,8,8,2,23,1,2,1,1,"Texas",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,7,8,9,7,8,1,9,8,10,10,7,8,8,8,2,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,50,52
4,0,1,10,9,13,0,0.05,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,23,1,2,1,1,"Texas",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,7,8,9,7,8,0,4,7,8,8,6,7,4,1,2,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,60,40
4,0,1,10,5,16,0,0.37,1,25,2,50,0,30,10,0,10,1,6,6,7,7,8,7,6,6,2,23,1,2,1,1,"Texas",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,7,8,9,7,8,0,5,10,8,4,8,2,4,3,2,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,41,37
4,0,1,10,10,17,0,0.35,1,30,2,35,15,25,10,5,10,1,7,6,3,5,6,5,6,4,2,23,1,2,1,1,"Texas",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,7,8,9,7,8,0,7,10,10,7,10,5,5,1,2,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,32,49
5,0,1,10,10,12,0,0,1,22,2,60,0,0,40,0,0,0,6,7,10,7,6,5,7,4,1,21,1,2,8,1,"Bowdoin College",2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,6,3,6,10,8,0,8,6,6,5,5,5,6,4,1,2,7,2,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,41,35
5,0,1,10,2,14,1,0.08,1,23,2,30,5,15,40,5,5,1,6,8,6,8,10,10,7,7,1,21,1,2,8,1,"Bowdoin College",2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,6,3,6,10,8,1,8,5,5,7,7,9,8,2,1,2,7,2,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,48,41
5,0,1,10,5,19,1,-0.13,1,28,2,50,0,25,10,0,15,1,5,9,9,9,9,6,7,7,2,21,1,2,8,1,"Bowdoin College",2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,6,3,6,10,8,1,7,5,7,8,7,9,9,4,2,2,7,2,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,47,43
5,0,1,10,1,11,0,-0.43,1,27,2,35,20,20,20,0,5,0,6,8,8,8,7,6,6,5,2,21,1,2,8,1,"Bowdoin College",2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,6,3,6,10,8,0,5,8,8,2,2,2,7,5,2,2,7,2,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,43,27
5,0,1,10,7,13,0,-0.17,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,1,2,8,1,"Bowdoin College",2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,6,3,6,10,8,0,4,6,8,8,6,5,6,5,1,2,7,2,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,60,37
5,0,1,10,8,17,0,-0.05,1,30,2,35,15,25,10,5,10,0,2,3,4,4,5,3,3,3,2,21,1,2,8,1,"Bowdoin College",2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,6,3,6,10,8,1,6,6,8,5,5,6,6,3,2,2,7,2,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,21,36
5,0,1,10,6,20,0,-0.06,1,24,2,100,0,0,0,0,0,0,3,10,7,7,10,5,4,10,2,21,1,2,8,1,"Bowdoin College",2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,6,3,6,10,8,1,9,6,7,9,6,5,10,3,2,2,7,2,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,42,42
6,0,1,10,1,13,0,-0.51,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,23,1,4,1,1,"MD",1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,5,7,8,9,5,0,4,7,9,4,3,2,6,2,1,4,3,3,2,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,60,29
6,0,1,10,10,20,0,0.43,0,24,2,100,0,0,0,0,0,0,7,10,10,6,10,7,6,7,2,23,1,4,1,1,"MD",1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,5,7,8,9,5,1,8,9,9,9,10,7,9,8,2,4,3,3,2,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,50,52
6,0,1,10,4,12,0,0.37,0,22,2,60,0,0,40,0,0,0,6,8,10,6,7,6,7,4,2,23,1,4,1,1,"MD",1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,5,7,8,9,5,1,6,9,9,6,8,2,7,6,2,4,3,3,2,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,43,40
6,0,1,10,8,15,0,0.35,0,24,3,30,10,20,10,10,20,1,9,7,9,7,9,6,9,2,1,23,1,4,1,1,"MD",1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,5,7,8,9,5,0,5,4,8,8,4,2,4,3,1,4,3,3,2,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,47,31
6,0,1,10,6,14,1,0.12,0,23,2,30,5,15,40,5,5,1,6,8,8,7,9,8,7,7,2,23,1,4,1,1,"MD",1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,5,7,8,9,5,1,8,6,7,8,2,8,9,4,2,4,3,3,2,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,46,39
6,0,1,10,5,11,0,0.33,0,27,2,35,20,20,20,0,5,0,7,9,8,9,8,4,7,4,2,23,1,4,1,1,"MD",1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,5,7,8,9,5,1,6,9,7,6,7,6,6,6,2,4,3,3,2,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,45,41
7,0,1,10,2,11,0,0.19,0,27,2,35,20,20,20,0,5,0,7,8,8,8,7,7,7,4,2,22,1,4,2,4,"Southern California",1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,6,6,5,7,7,0,4,8,8,5,7,4,7,4,2,2,NA,NA,3,15,15,25,20,15,10,6,6,7,5,7,45,36
7,0,1,10,8,13,0,0.52,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,22,1,4,2,4,"Southern California",1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,6,6,5,7,7,0,3,6,8,7,8,8,7,8,1,2,NA,NA,3,15,15,25,20,15,10,6,6,7,5,7,60,40
7,0,1,10,1,12,0,0.21,0,22,2,60,0,0,40,0,0,1,7,9,10,6,6,5,8,4,1,22,1,4,2,4,"Southern California",1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,6,6,5,7,7,0,6,6,8,4,9,4,7,3,1,2,NA,NA,3,15,15,25,20,15,10,6,6,7,5,7,43,37
7,0,1,10,4,16,0,0.59,0,25,2,50,0,30,10,0,10,1,8,8,8,6,6,6,7,7,2,22,1,4,2,4,"Southern California",1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,6,6,5,7,7,0,4,8,7,4,5,4,5,5,2,2,NA,NA,3,15,15,25,20,15,10,6,6,7,5,7,42,32
7,0,1,10,5,15,0,-0.27,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,5,8,4,2,22,1,4,2,4,"Southern California",1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,6,6,5,7,7,0,4,7,7,4,8,5,5,6,1,2,NA,NA,3,15,15,25,20,15,10,6,6,7,5,7,44,35
7,0,1,10,9,17,0,0.31,0,30,2,35,15,25,10,5,10,0,7,6,5,4,4,3,5,4,2,22,1,4,2,4,"Southern California",1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,6,6,5,7,7,1,7,7,8,7,7,7,8,7,2,2,NA,NA,3,15,15,25,20,15,10,6,6,7,5,7,29,43
8,0,1,10,2,20,1,-0.21,1,24,2,100,0,0,0,0,0,1,8,10,9,9,8,8,8,8,2,25,13,2,1,1,"London, England",1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1,7,6,8,7,9,8,8,7,2,2,NA,NA,3,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,52,45
8,0,1,10,8,14,1,-0.4,1,23,2,30,5,15,40,5,5,1,8,8,8,8,8,7,8,7,2,25,13,2,1,1,"London, England",1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1,8,6,5,6,6,5,5,6,2,2,NA,NA,3,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,47,36
8,0,1,10,1,19,1,-0.47,1,28,2,50,0,25,10,0,15,1,8,7,8,10,8,10,8,8,2,25,13,2,1,1,"London, England",1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1,8,8,5,9,8,9,7,10,2,2,NA,NA,3,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,51,47
8,0,1,10,6,12,1,-0.11,1,22,2,60,0,0,40,0,0,1,8,8,10,7,6,5,9,4,2,25,13,2,1,1,"London, England",1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1,8,7,7,9,6,7,8,7,2,2,NA,NA,3,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,44,44
8,0,1,10,10,15,1,-0.23,0,24,3,30,10,20,10,10,20,1,9,9,8,9,0,7,9,7,2,25,13,2,1,1,"London, England",1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1,6,8,8,5,6,7,6,5,2,2,NA,NA,3,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,42,40
8,0,1,10,9,16,1,0.28,1,25,2,50,0,30,10,0,10,1,8,7,7,7,8,7,7,6,2,25,13,2,1,1,"London, England",1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1,6,8,8,5,6,7,6,5,2,2,NA,NA,3,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,44,40
8,0,1,10,4,17,0,0.05,1,30,2,35,15,25,10,5,10,0,6,4,7,5,6,4,4,4,2,25,13,2,1,1,"London, England",1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1,6,7,8,5,7,7,6,6,2,2,NA,NA,3,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,32,40
9,0,1,10,3,20,0,-0.23,0,24,2,100,0,0,0,0,0,0,5,6,6,6,6,6,6,6,2,26,13,6,1,1,"Palm Springs, California",1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,7,6,10,7,7,1,7,8,7,8,7,8,8,5,2,1,6,2,1,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,35,45
9,0,1,10,6,18,0,0.1,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,7,7,7,7,6,5,7,5,2,26,13,6,1,1,"Palm Springs, California",1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,7,6,10,7,7,1,6,7,8,7,9,6,7,5,2,1,6,2,1,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,39,43
9,0,1,10,4,13,1,0.68,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,26,13,6,1,1,"Palm Springs, California",1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,7,6,10,7,7,1,5,10,10,6,6,6,8,5,2,1,6,2,1,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,60,43
9,0,1,10,8,11,0,0.19,0,27,2,35,20,20,20,0,5,0,6,8,7,8,7,5,6,4,2,26,13,6,1,1,"Palm Springs, California",1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,7,6,10,7,7,1,8,10,9,8,7,6,5,5,2,1,6,2,1,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,41,48
9,0,1,10,1,15,1,-0.01,0,24,3,30,10,20,10,10,20,1,7,9,8,9,7,7,7,8,2,26,13,6,1,1,"Palm Springs, California",1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,7,6,10,7,7,1,5,10,8,8,5,5,5,5,2,1,6,2,1,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,47,41
9,0,1,10,9,14,1,-0.26,0,23,2,30,5,15,40,5,5,1,7,8,7,8,8,7,7,7,2,26,13,6,1,1,"Palm Springs, California",1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,7,6,10,7,7,1,10,9,8,8,7,7,7,5,2,1,6,2,1,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,45,49
