"iid","gender","condtn","round","order","pid","match","pf_o_sha","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","field_cd","race","from","career_c","shar1_1","attr","sinc","intel","fun","amb","shar","like","prob","match_es","shar1_2","attr3_2","cult","outside"
10,"0","1",10,10,14,"0",5,7,8,7,9,8,8,7,7,"13","2","west","9",5,10,10,10,10,10,0,10,1,2,17.8617861786179,10,6.71428571428571,7
10,"0","1",10,8,12,"0",0,1,1,1,1,1,1,1,1,"13","2","west","9",5,1,1,1,1,1,0,1,1,2,17.8617861786179,10,6.71428571428571,7
10,"0","1",10,5,13,"1",12,10,10,10,10,10,10,10,10,"13","2","west","9",5,6,10,10,10,6,0,7,6,2,17.8617861786179,10,6.71428571428571,7
10,"0","1",10,1,16,"0",10,0,8,7,7,7,7,6,6,"13","2","west","9",5,5,10,6,4,6,0,6,1,2,17.8617861786179,10,6.71428571428571,7
10,"0","1",10,7,18,"0",22.2222222222222,6,6,6,6,6,5,7,6,"13","2","west","9",5,5,6,6,4,5,0,5,5,2,17.8617861786179,10,6.71428571428571,7
10,"0","1",10,6,17,"0",10,7,7,4,3,4,4,3,6,"13","2","west","9",5,5,10,8,6,9,0,7,1,2,17.8617861786179,10,6.71428571428571,7
10,"0","1",10,4,20,"0",0,6,6,6,6,6,6,7,7,"13","2","west","9",5,9,9,8,10,8,8,9,10,2,17.8617861786179,10,6.71428571428571,7
11,"1","1",10,2,7,"0",10,4,8,8,5,7,4,7,4,"8","2","South America","2",5,7,8,8,8,7,7,7,4,0,17.0717071707171,8,5.71428571428571,5.66666666666667
11,"1","1",10,9,10,"0",5,6,10,10,6,6,0,6,3,"8","2","South America","2",5,7,8,7,8,6,5,6,3,0,17.0717071707171,8,5.71428571428571,5.66666666666667
11,"1","1",10,5,6,"0",15,6,9,7,6,7,6,6,6,"8","2","South America","2",5,7,9,8,9,8,4,7,4,0,17.0717071707171,8,5.71428571428571,5.66666666666667
11,"1","1",10,8,9,"0",10,8,10,9,8,7,6,5,5,"8","2","South America","2",5,6,8,7,8,7,5,6,4,0,17.0717071707171,8,5.71428571428571,5.66666666666667
11,"1","1",10,3,4,"0",10,4,10,8,5,8,7,6,7,"8","2","South America","2",5,6,7,8,7,7,5,6,3,0,17.0717071707171,8,5.71428571428571,5.66666666666667
11,"1","1",10,6,3,"0",0,7,9,10,7,8,9,8,7,"8","2","South America","2",5,7,8,6,5,8,4,5,2,0,17.0717071707171,8,5.71428571428571,5.66666666666667
11,"1","1",10,1,5,"0",15,5,8,8,2,2,2,7,5,"8","2","South America","2",5,6,8,8,8,7,6,6,5,0,17.0717071707171,8,5.71428571428571,5.66666666666667
12,"1","1",10,10,5,"0",15,8,6,6,5,5,5,6,4,"1","2","EU","1",0,6,7,10,7,6,5,7,4,3,0,9,6.14285714285714,6
12,"1","1",10,8,10,"0",5,1,1,1,1,1,0,1,1,"1","2","EU","1",0,1,1,1,1,1,1,1,1,3,0,9,6.14285714285714,6
12,"1","1",10,1,7,"0",10,6,6,8,4,9,4,7,3,"1","2","EU","1",0,7,9,10,6,6,5,8,4,3,0,9,6.14285714285714,6
12,"1","1",10,3,1,"0",15,7,8,7,8,5,6,7,5,"1","2","EU","1",0,7,8,10,7,7,5,8,4,3,0,9,6.14285714285714,6
12,"1","1",10,9,2,"0",5,8,5,6,6,9,6,7,3,"1","2","EU","1",0,7,6,10,6,6,5,8,4,3,0,9,6.14285714285714,6
12,"1","1",10,7,9,"1",10,10,10,10,10,10,10,10,5,"1","2","EU","1",0,8,8,10,7,6,5,8,4,3,0,9,6.14285714285714,6
12,"1","1",10,4,6,"0",15,6,9,9,6,8,2,7,6,"1","2","EU","1",0,6,8,10,6,7,6,7,4,3,0,9,6.14285714285714,6
12,"1","1",10,6,8,"1",9.09090909090909,8,7,7,9,6,7,8,7,"1","2","EU","1",0,8,8,10,7,6,5,9,4,3,0,9,6.14285714285714,6
12,"1","1",10,5,3,"0",0,9,7,9,8,9,7,8,7,"1","2","EU","1",0,6,7,10,6,6,5,7,3,3,0,9,6.14285714285714,6
12,"1","1",10,2,4,"0",10,8,7,8,10,7,8,8,1,"1","2","EU","1",0,6,5,10,6,6,5,6,3,3,0,9,6.14285714285714,6
13,"1","1",10,6,2,"0",5,5,8,9,6,3,4,6,7,"1","4","west","1",12,10,10,10,10,10,10,10,10,2,12.5,3,7.42857142857143,4
13,"1","1",10,5,10,"1",5,6,10,10,10,6,0,7,6,"1","4","west","1",12,10,10,10,10,10,10,10,10,2,12.5,3,7.42857142857143,4
13,"1","1",10,10,1,"1",15,5,8,9,8,5,7,7,6,"1","4","west","1",12,10,10,10,10,10,10,10,10,2,12.5,3,7.42857142857143,4
13,"1","1",10,1,6,"0",15,4,7,9,4,3,2,6,2,"1","4","west","1",12,10,10,10,10,10,10,10,10,2,12.5,3,7.42857142857143,4
13,"1","1",10,9,4,"0",10,4,7,8,8,6,7,4,1,"1","4","west","1",12,10,10,10,10,10,10,10,10,2,12.5,3,7.42857142857143,4
13,"1","1",10,3,8,"1",9.09090909090909,5,8,8,6,7,7,5,5,"1","4","west","1",12,10,10,10,10,10,10,10,10,2,12.5,3,7.42857142857143,4
13,"1","1",10,4,9,"1",10,5,10,10,6,6,6,8,5,"1","4","west","1",12,10,10,10,10,10,10,10,10,2,12.5,3,7.42857142857143,4
14,"1","1",10,8,8,"1",9.09090909090909,8,6,5,6,6,5,5,6,"1","2","east","1",5,8,8,8,8,8,7,8,7,2,11.4288571142886,9,7.14285714285714,3.33333333333333
14,"1","1",10,4,4,"1",10,8,10,7,10,7,10,8,10,"1","2","east","1",5,7,7,7,9,9,9,8,10,2,11.4288571142886,9,7.14285714285714,3.33333333333333
14,"1","1",10,5,1,"1",15,7,6,8,7,6,8,7,6,"1","2","east","1",5,7,8,9,8,9,8,7,7,2,11.4288571142886,9,7.14285714285714,3.33333333333333
14,"1","1",10,9,9,"1",10,10,9,8,8,7,7,7,5,"1","2","east","1",5,7,8,7,8,8,7,7,7,2,11.4288571142886,9,7.14285714285714,3.33333333333333
14,"1","1",10,1,2,"1",5,7,9,7,6,5,7,7,8,"1","2","east","1",5,9,9,9,9,9,9,9,7,2,11.4288571142886,9,7.14285714285714,3.33333333333333
14,"1","1",10,7,3,"0",0,9,7,9,7,9,7,8,7,"1","2","east","1",5,7,9,8,8,8,8,7,7,2,11.4288571142886,9,7.14285714285714,3.33333333333333
14,"1","1",10,2,5,"1",15,8,5,5,7,7,9,8,2,"1","2","east","1",5,6,8,6,8,10,10,7,7,2,11.4288571142886,9,7.14285714285714,3.33333333333333
14,"1","1",10,3,7,"1",10,7,8,8,7,7,6,8,6,"1","2","east","1",5,8,8,9,8,9,9,8,7,2,11.4288571142886,9,7.14285714285714,3.33333333333333
15,"1","1",10,1,9,"1",10,5,10,8,8,5,5,5,5,"1","3","east","1",20,7,9,8,9,7,7,7,8,2,21.2121212121212,7,5.57142857142857,4.33333333333333
15,"1","1",10,8,6,"0",15,5,4,8,8,4,2,4,3,"1","3","east","1",20,9,7,9,7,9,6,9,2,2,21.2121212121212,7,5.57142857142857,4.33333333333333
15,"1","1",10,4,5,"0",15,6,7,7,5,4,8,7,4,"1","3","east","1",20,5,9,9,7,9,5,5,7,2,21.2121212121212,7,5.57142857142857,4.33333333333333
15,"1","1",10,6,4,"0",10,6,9,8,9,8,9,7,7,"1","3","east","1",20,8,8,9,8,8,9,9,7,2,21.2121212121212,7,5.57142857142857,4.33333333333333
15,"1","1",10,5,7,"0",10,4,7,7,4,8,5,5,6,"1","3","east","1",20,8,7,9,6,9,5,8,4,2,21.2121212121212,7,5.57142857142857,4.33333333333333
15,"1","1",10,10,8,"1",9.09090909090909,6,8,8,5,6,7,6,5,"1","3","east","1",20,9,9,8,9,0,7,9,7,2,21.2121212121212,7,5.57142857142857,4.33333333333333
15,"1","1",10,9,3,"0",0,9,10,10,10,10,10,9,7,"1","3","east","1",20,6,10,8,6,0,0,6,1,2,21.2121212121212,7,5.57142857142857,4.33333333333333
16,"1","1",10,6,1,"0",15,4,9,7,4,6,4,6,5,"8","2","EU","7",10,7,7,8,8,7,7,7,6,3,17.0734146829366,6,6.28571428571429,5.33333333333333
16,"1","1",10,7,6,"0",15,3,7,6,1,1,1,2,2,"8","2","EU","7",10,6,6,8,8,8,7,6,6,3,17.0734146829366,6,6.28571428571429,5.33333333333333
16,"1","1",10,1,10,"0",5,5,10,6,4,6,0,6,1,"8","2","EU","7",10,0,8,7,7,7,7,6,6,3,17.0734146829366,6,6.28571428571429,5.33333333333333
16,"1","1",10,4,7,"0",10,4,8,7,4,5,4,5,5,"8","2","EU","7",10,8,8,8,6,6,6,7,7,3,17.0734146829366,6,6.28571428571429,5.33333333333333
16,"1","1",10,3,5,"0",15,5,6,7,5,7,8,7,3,"8","2","EU","7",10,5,8,7,7,7,7,6,7,3,17.0734146829366,6,6.28571428571429,5.33333333333333
16,"1","1",10,8,3,"0",0,8,10,10,7,9,9,8,7,"8","2","EU","7",10,7,6,6,6,6,6,6,7,3,17.0734146829366,6,6.28571428571429,5.33333333333333
16,"1","1",10,5,4,"0",10,5,10,8,4,8,2,4,3,"8","2","EU","7",10,6,6,7,7,8,7,6,6,3,17.0734146829366,6,6.28571428571429,5.33333333333333
16,"1","1",10,9,8,"1",9.09090909090909,6,8,8,5,6,7,6,5,"8","2","EU","7",10,8,7,7,7,8,7,7,6,3,17.0734146829366,6,6.28571428571429,5.33333333333333
16,"1","1",10,10,9,"1",10,8,9,9,7,6,5,6,5,"8","2","EU","7",10,6,6,7,8,7,7,6,5,3,17.0734146829366,6,6.28571428571429,5.33333333333333
17,"1","1",10,6,10,"0",5,5,10,8,6,9,0,7,1,"13","2","east","2",10,7,7,4,3,4,4,3,6,1,6.66933306669333,6,5.14285714285714,4.33333333333333
17,"1","1",10,1,1,"0",15,7,6,7,4,6,7,6,5,"13","2","east","2",10,3,6,7,5,8,7,2,1,1,6.66933306669333,6,5.14285714285714,4.33333333333333
17,"1","1",10,8,5,"0",15,6,6,8,5,5,6,6,3,"13","2","east","2",10,2,3,4,4,5,3,3,3,1,6.66933306669333,6,5.14285714285714,4.33333333333333
17,"1","1",10,2,6,"0",15,8,8,8,8,3,4,8,7,"13","2","east","2",10,5,6,8,4,5,4,3,3,1,6.66933306669333,6,5.14285714285714,4.33333333333333
17,"1","1",10,9,7,"0",10,7,7,8,7,7,7,8,7,"13","2","east","2",10,7,6,5,4,4,3,5,4,1,6.66933306669333,6,5.14285714285714,4.33333333333333
17,"1","1",10,4,8,"0",9.09090909090909,6,7,8,5,7,7,6,6,"13","2","east","2",10,6,4,7,5,6,4,4,4,1,6.66933306669333,6,5.14285714285714,4.33333333333333
17,"1","1",10,3,3,"0",0,8,9,10,7,7,9,8,7,"13","2","east","2",10,6,3,5,4,5,4,2,2,1,6.66933306669333,6,5.14285714285714,4.33333333333333
17,"1","1",10,5,9,"1",10,6,8,9,6,6,6,7,5,"13","2","east","2",10,8,6,7,8,6,5,8,4,1,6.66933306669333,6,5.14285714285714,4.33333333333333
17,"1","1",10,7,2,"0",5,7,5,9,6,7,9,8,7,"13","2","east","2",10,5,3,4,3,5,3,4,3,1,6.66933306669333,6,5.14285714285714,4.33333333333333
17,"1","1",10,10,4,"0",10,7,10,10,7,10,5,5,1,"13","2","east","2",10,7,6,3,5,6,5,6,4,1,6.66933306669333,6,5.14285714285714,4.33333333333333
18,"1","1",10,2,1,"0",15,4,9,7,6,5,6,6,7,"8","2","east","7",22.2222222222222,6,7,5,6,8,6,7,5,2,17.0717071707171,6,5.14285714285714,3.66666666666667
18,"1","1",10,4,3,"0",0,7,9,9,8,9,7,8,7,"8","2","east","7",22.2222222222222,4,5,6,4,6,4,5,1,2,17.0717071707171,6,5.14285714285714,3.66666666666667
18,"1","1",10,6,9,"0",10,6,7,8,7,9,6,7,5,"8","2","east","7",22.2222222222222,7,7,7,7,6,5,7,5,2,17.0717071707171,6,5.14285714285714,3.66666666666667
18,"1","1",10,10,7,"0",10,5,7,8,5,9,5,5,7,"8","2","east","7",22.2222222222222,8,7,6,7,7,5,7,5,2,17.0717071707171,6,5.14285714285714,3.66666666666667
18,"1","1",10,7,10,"0",5,5,6,6,4,5,0,5,5,"8","2","east","7",22.2222222222222,6,6,6,6,6,5,7,6,2,17.0717071707171,6,5.14285714285714,3.66666666666667
18,"1","1",10,5,8,"1",9.09090909090909,5,6,7,4,5,6,5,4,"8","2","east","7",22.2222222222222,9,8,8,8,7,5,7,5,2,17.0717071707171,6,5.14285714285714,3.66666666666667
18,"1","1",10,9,5,"0",15,5,5,7,6,7,5,6,4,"8","2","east","7",22.2222222222222,5,5,6,5,5,5,6,5,2,17.0717071707171,6,5.14285714285714,3.66666666666667
19,"1","1",10,4,2,"1",5,7,6,8,9,4,5,5,6,"8","2","west","7",15,8,6,9,9,8,7,8,8,2,15,10,5.71428571428571,7.66666666666667
19,"1","1",10,8,1,"1",15,7,6,8,9,8,8,7,7,"8","2","west","7",15,7,7,8,8,8,9,6.5,8,2,15,10,5.71428571428571,7.66666666666667
19,"1","1",10,6,7,"1",10,6,6,8,8,8,6,6,6,"8","2","west","7",15,9,7,9,9,9,10,9,9,2,15,10,5.71428571428571,7.66666666666667
19,"1","1",10,7,4,"1",10,9,8,10,10,7,8,8,8,"8","2","west","7",15,7,7,7,10,9,10,8,8,2,15,10,5.71428571428571,7.66666666666667
19,"1","1",10,2,9,"1",10,8,5,5,6,5,5,7,6,"8","2","west","7",15,6,6,6,7,6,6,6,6,2,15,10,5.71428571428571,7.66666666666667
19,"1","1",10,9,6,"1",15,7,6,8,8,6,9,9,6,"8","2","west","7",15,6,7,7,6,6,6,6,6,2,15,10,5.71428571428571,7.66666666666667
19,"1","1",10,3,10,"1",5,9,9,9,9,9,9,9,9,"8","2","west","7",15,7,7,7,7,6,6,7,8,2,15,10,5.71428571428571,7.66666666666667
20,"1","1",10,7,7,"0",10,8,6,7,7,8,6,7,5,"8","2","east","7",0,7,6,8,6,8,7,7,7,1,0,7,5.85714285714286,9
20,"1","1",10,6,5,"0",15,9,6,7,9,6,5,10,3,"8","2","east","7",0,3,10,7,7,10,5,4,10,1,0,7,5.85714285714286,9
20,"1","1",10,1,3,"0",0,8,7,9,7,9,7,8,7,"8","2","east","7",0,5,6,8,5,8,6,5,5,1,0,7,5.85714285714286,9
20,"1","1",10,4,10,"0",5,9,9,8,10,8,8,9,10,"8","2","east","7",0,6,6,6,6,6,6,7,7,1,0,7,5.85714285714286,9
20,"1","1",10,2,8,"1",9.09090909090909,7,6,8,7,9,8,8,7,"8","2","east","7",0,8,10,9,9,8,8,8,8,1,0,7,5.85714285714286,9
20,"1","1",10,3,9,"0",10,7,8,7,8,7,8,8,5,"8","2","east","7",0,5,6,6,6,6,6,6,6,1,0,7,5.85714285714286,9
20,"1","1",10,10,6,"0",15,8,9,9,9,10,7,9,8,"8","2","east","7",0,7,10,10,6,10,7,6,7,1,0,7,5.85714285714286,9
20,"1","1",10,8,4,"0",10,8,9,10,10,8,8,10,8,"8","2","east","7",0,7,8,8,7,8,7,7,7,1,0,7,5.85714285714286,9
21,"0","2",16,16,48,"0",0,3,8,5,5,8,3,4,2,"5","4","east","10",18,7,7,7,5,6,3,6,1,0,20,6,5.85714285714286,4.66666666666667
21,"0","2",16,14,52,"0",15,6,6,8,6,7,6,6,3,"5","4","east","10",18,5,8,8,5,8,2,6,1,0,20,6,5.85714285714286,4.66666666666667
21,"0","2",16,5,46,"0",5,6,7,10,8,9,8,8,6,"5","4","east","10",18,6,8,8,6,8,5,8,2,0,20,6,5.85714285714286,4.66666666666667
21,"0","2",16,3,49,"0",15,6,7,8,4,6,4,6,6,"5","4","east","10",18,9,9,10,9,9,8,9,5,0,20,6,5.85714285714286,4.66666666666667
21,"0","2",16,13,51,"0",15,2,8,8,3,2,2,5,3,"5","4","east","10",18,7,4,6,4,4,2,2,1,0,20,6,5.85714285714286,4.66666666666667
21,"0","2",16,9,53,"0",10,6,8,8,7,7,6,7,7,"5","4","east","10",18,6,8,7,7,7,2,6,1,0,20,6,5.85714285714286,4.66666666666667
21,"0","2",16,2,45,"0",20,7,8,8,7,9,6,7,7,"5","4","east","10",18,6,8,8,6,8,4,5,2,0,20,6,5.85714285714286,4.66666666666667
21,"0","2",16,8,42,"0",10,3,10,9,5,9,2,6,7,"5","4","east","10",18,8,9,8,8,7,6,9,3,0,20,6,5.85714285714286,4.66666666666667
21,"0","2",16,6,40,"0",0,3,10,10,6,4,7,4,1,"5","4","east","10",18,6,8,7,9,5,7,9,1,0,20,6,5.85714285714286,4.66666666666667
