"","iid","id","gender","idg","condtn","wave","round","position","positin1","order","partner","pid","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field","field_cd","X....","mn_sat","tuition","race","imprace","imprelig","from","zipcode","income","goal","date","go_out","career","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr4_1","sinc4_1","intel4_1","fun4_1","amb4_1","shar4_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","attr5_1","sinc5_1","intel5_1","fun5_1","amb5_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","match_es","attr1_s","sinc1_s","intel1_s","fun1_s","amb1_s","shar1_s","attr3_s","sinc3_s","intel3_s","fun3_s","amb3_s","satis_2","length","numdat_2","attr7_2","sinc7_2","intel7_2","fun7_2","amb7_2","shar7_2","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr4_2","sinc4_2","intel4_2","fun4_2","amb4_2","shar4_2","attr2_2","sinc2_2","intel2_2","fun2_2","amb2_2","shar2_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","attr5_2","sinc5_2","intel5_2","fun5_2","amb5_2","you_call","them_cal","date_3","numdat_3","num_in_3","attr1_3","sinc1_3","intel1_3","fun1_3","amb1_3","shar1_3","attr7_3","sinc7_3","intel7_3","fun7_3","amb7_3","shar7_3","attr4_3","sinc4_3","intel4_3","fun4_3","amb4_3","shar4_3","attr2_3","sinc2_3","intel2_3","fun2_3","amb2_3","shar2_3","attr3_3","sinc3_3","intel3_3","fun3_3","amb3_3","attr5_3","sinc5_3","intel5_3","fun5_3","amb5_3"
"5804",382,4,0,7,2,15,19,17,17,9,3,399,0,0.24,1,29,2,25,10,20,20,10,15,0,5,5,6,5,9,NA,5,7,2,28,"Film",14,"School of the Arts","","",2,8,1,"New York City","10,028","52,010.00",2,7,3,"Filmmaker",6,6,5,10,10,9,9,6,8,3,8,10,8,10,9,9,9,1,6,NA,25,25,25,10,10,5,80,0,10,10,0,0,80,0,10,10,0,0,7,7,7,7,10,8,8,8,8,8,1,5,5,5,5,5,8,5,5,2,3,20,20,20,20,10,10,6,7,7,8,9,5,3,3,NA,NA,NA,NA,NA,NA,20,20,20,20,10,10,20,20,20,20,10,10,60,5,5,10,10,10,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4560",301,8,0,15,2,12,14,3,3,4,10,317,0,0.67,1,30,2,50,0,20,20,0,10,0,4,10,10,8,5,5,6,8,NA,34,"bilingual education",9,"university of pennsylvania","1,400.00","26,630.00",2,3,8,"Washington, DC","8,540","",2,4,1,"professor of education",2,5,3,9,10,7,8,5,1,5,9,5,9,10,9,9,5,9,2,NA,20,20,20,20,10,10,40,5,20,20,10,5,40,5,20,20,10,5,9,9,8,9,8,8,9,9,8,9,1,9,8,8,10,5,5,8,5,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,3,NA,NA,NA,NA,NA,NA,17,15,18,25,10,15,25,15,10,20,10,20,25,15,10,20,10,20,8,8,8,8,8,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2366",171,14,1,28,2,7,16,3,1,3,6,147,0,0.54,0,26,4,18,18,20,18,16,10,0,4,7,9,4,6,3,5,5,2,29,"Finance",8,"","","",2,1,1,"France","75,015","",1,4,2,"Finance",7,8,2,8,8,5,5,5,2,8,9,6,6,9,4,9,7,1,8,NA,19.57,10.87,19.57,19.57,19.57,10.87,9,8,8,8,8,5,15.22,15.22,19.57,19.57,19.57,10.87,10,10,10,10,10,NA,NA,NA,NA,NA,0,5,6,7,9,7,4,9,8,0,NA,23.81,11.9,19.05,21.43,16.67,7.14,10,10,10,10,10,7,1,3,NA,NA,NA,NA,NA,NA,20.41,12.24,16.33,18.37,14.29,18.37,9,7,8,9,9,7,15.38,15.38,17.31,17.31,19.23,15.38,10,10,10,10,10,NA,NA,NA,NA,NA,4,2,1,2,NA,18.75,14.58,16.67,18.75,14.58,16.67,NA,NA,NA,NA,NA,NA,8,7,8,7,9,9,8,8,8,8,9,NA,12,12,12,12,12,NA,NA,NA,NA,NA
"7725",523,15,0,29,2,21,22,5,5,15,7,537,0,0.14,1,22,4,20,5,25,25,5,20,0,4,8,8,4,5,7,4,7,2,27,"Education",9,"Beijing University","","",4,3,2,"China","10,027","",2,4,3,"??",10,8,1,5,9,4,3,6,7,8,13,5,2,7,8,9,3,1,9,NA,10,25,20,20,5,20,45,5,15,20,0,15,10,25,20,20,5,20,6,9,8,9,6,6,8,8,6,6,0,4,2,6,4,6,8,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,20,20,15,30,0,15,20,25,20,25,0,10,45,20,5,20,0,10,45,20,5,20,0,10,8,8,10,8,9,6,6,9,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2445",177,4,0,7,1,8,10,4,4,9,7,190,0,-0.03,1,25,2,15.56,20,20,20,13.33,11.11,0,5,NA,5,8,5,NA,4,5,1,22,"international affairs/international finance",13,"","","",2,8,3,"San Diego, CA","92,120","47,997.00",2,5,2,"management consulting",7,5,9,6,8,6,4,2,3,7,9,7,6,7,3,4,5,1,6,NA,15.09,16.98,16.98,16.98,18.87,15.09,10,7,5,6,6,6,25,15,15,17.5,12.5,15,9,9,8,9,9,NA,NA,NA,NA,NA,1,6,7,7,8,8,3,7,5,1,2,16,16,18,18,20,12,9,7.5,9,8,9,6,3,1,NA,NA,NA,NA,NA,NA,16.98,16.98,16.98,15.09,18.87,15.09,7,8,6,7,6,7,24.32,18.92,13.51,16.22,10.81,16.22,9,8,9,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7003",474,9,0,17,2,19,15,8,9,1,7,487,0,-0.21,0,24,4,25,26,15,10,9,15,1,7,6,7,7,7,5,8,6,2,30,"biotechnology",10,"washington university in st louis","","26,377.00",1,1,1,"alabama","36,701","22,161.00",1,6,5,"scientist",2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,NA,15,20,10,30,5,20,10,10,10,10,50,10,50,10,10,10,10,10,9,9,10,8,7,9,9,9,9,9,0,4,10,9,5,7,5,7,5,0,6,10,10,6,10,5,8,9,9,7,10,5,7,3,3,15,40,10,10,20,5,15,20,15,30,5,15,40,10,20,10,10,10,60,10,10,5,5,5,9,9,9,10,6,9,9,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2394",173,16,1,32,2,7,16,10,16,11,2,143,0,-0.03,1,33,2,8.33,20.83,20.83,14.58,16.67,18.75,0,7,5,8,9,8,NA,7,5,2,22,"math",2,"","","",2,5,7,"NJ","8,536","",1,4,1,"professor",2,10,8,9,6,5,6,7,4,8,7,4,5,6,9,10,3,6,3,NA,18.37,18.37,20.41,20.41,16.33,6.12,8,7,6,8,7,5,14.58,18.75,18.75,20.83,16.67,10.42,7,9,9,9,9,NA,NA,NA,NA,NA,0,4,6,5,4,5,5,3,3,0,5,17.02,17.02,17.02,17.02,17.02,14.89,7,8,9,8,8,6,3,3,NA,NA,NA,NA,NA,NA,17.78,17.78,17.78,20,15.56,11.11,8,7,6,8,6,6,12.77,19.15,17.02,19.15,17.02,14.89,7,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2231",162,5,1,10,2,7,16,7,14,10,15,156,0,0.45,0,30,1,14,18,16,18,18,16,0,7,6,10,3,8,10,4,1,2,27,"Biochemistry",10,"","","",4,1,1,"Canada","","",2,6,2,"pharmaceuticals and biotechnology",4,3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,4,NA,15.22,15.22,19.57,17.39,13.04,19.57,8,7,7,8,6,7,13.04,19.57,19.57,17.39,17.39,13.04,7,8,7,9,8,NA,NA,NA,NA,NA,1,5,7,7,5,9,6,6,4,0,2,18.37,18.37,16.33,18.37,12.24,16.33,7,7,8,6,8,5,1,3,NA,NA,NA,NA,NA,NA,15.22,15.22,19.57,17.39,13.04,19.57,9,5,8,8,6,7,15.91,15.91,20.45,15.91,18.18,13.64,7,7,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1562",106,13,1,26,2,4,18,3,NA,1,14,89,0,0.38,0,27,2,25,15,20,20,20,0,0,8,10,10,9,10,5,9,5,2,22,"Law",1,"","","",3,1,3,"Texas","76,513","23,361.00",5,7,3,"Law",1,2,4,2,9,6,5,4,9,2,9,8,7,9,2,8,5,3,5,2,10,20,35,10,5,20,NA,NA,NA,NA,NA,NA,20,15,20,20,5,20,4,7,3,9,2,NA,NA,NA,NA,NA,1,8,8,8,8,10,NA,8,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,3,NA,NA,NA,NA,NA,NA,15,30,30,10,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,9,5,2,NA,NA,NA,NA,NA,0,1,1,NA,NA,20,20,35,5,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,9,3,4,NA,NA,NA,NA,NA
"1942",144,3,0,5,2,7,16,13,13,13,14,171,0,0.45,1,29,2,19.57,10.87,19.57,19.57,19.57,10.87,1,8,9,9,9,8,10,8,9,2,23,"Nutrition/Genetics",10,"","","",2,5,2,"PA","16,510","29,279.00",1,5,2,"research",2,10,7,9,6,6,6,4,3,7,7,5,4,7,9,8,7,4,5,NA,16,16,16,18,18,16,8,7,7,7,6,7,20,15.56,15.56,17.78,15.56,15.56,7,8,8,9,9,NA,NA,NA,NA,NA,0,5,7,8,7,7,6,6,8,0,NA,16.33,16.33,16.33,18.37,16.33,16.33,8,9,9,9,9,5,3,3,NA,NA,NA,NA,NA,NA,16.67,16.67,16.67,18.75,16.67,14.58,8,7,7,8,6,7,20.93,16.28,16.28,18.6,13.95,13.95,8,9,9,9,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,17.78,15.56,17.78,17.78,15.56,15.56,NA,NA,NA,NA,NA,NA,8,6,7,8,7,7,9,7,8,8,7,NA,8,8,9,9,9,NA,NA,NA,NA,NA
"2647",195,2,0,3,2,9,20,6,6,14,19,232,0,0.29,1,31,2,17.78,17.78,17.78,17.78,13.33,15.56,1,7,8,8,8,6,7,7,6,2,27,"microbiology",10,"","","",2,3,9,"Rochester, NY","14,526","49,466.00",1,2,1,"professional student",2,7,6,9,8,5,5,9,9,8,10,1,3,4,3,6,5,1,8,NA,15.38,19.23,19.23,19.23,13.46,13.46,7,9,7,9,10,8,22.73,15.91,18.18,18.18,11.36,13.64,9,8,10,10,8,NA,NA,NA,NA,NA,0,5,6,7,4,6,4,5,7,2,6,16.67,12.5,20.83,20.83,12.5,16.67,9,7,10,9,6,8,3,3,NA,NA,NA,NA,NA,NA,16,12,20,18,16,18,9,10,7,8,6,9,20.83,12.5,18.75,18.75,12.5,16.67,9,7,9,8,7,NA,NA,NA,NA,NA,0,4,1,1,NA,15.69,15.69,19.61,17.65,15.69,15.69,NA,NA,NA,NA,NA,NA,8,8,7,8,9,8,9,8,7,8,6,NA,8,8,9,9,8,NA,NA,NA,NA,NA
"2530",186,3,1,6,1,8,10,10,4,7,2,175,0,0.48,0,23,6,12.24,20.41,16.33,14.29,20.41,16.33,0,2,8,8,7,8,6,4,7,2,24,"Medical Informatics",5,"","","",4,4,3,"Kansas","66,610","44,195.00",1,7,3,"Professor",2,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,7,NA,19.44,19.44,22.22,16.67,11.11,11.11,7,4,6,8,6,4,15.79,13.16,21.05,18.42,21.05,10.53,4,8,4,7,6,NA,NA,NA,NA,NA,1,7,6,6,6,5,7,6,5,2,2,15.38,20.51,23.08,15.38,12.82,12.82,4,9,8,4,6,7,3,3,NA,NA,NA,NA,NA,NA,16.67,22.22,25,11.11,11.11,13.89,8,5,5,7,5,8,13.16,10.53,21.05,21.05,18.42,15.79,4,9,7,5,6,NA,NA,NA,NA,NA,1,0,1,1,NA,18.92,21.62,21.62,10.81,13.51,13.51,NA,NA,NA,NA,NA,NA,8,7,5,8,5,7,5,5,7,8,7,NA,5,8,8,4,6,NA,NA,NA,NA,NA
"1329",93,18,0,35,2,4,18,18,NA,11,15,108,0,0.09,1,24,2,10,20,35,20,0,15,1,8,8,7,7,6,4,7,4,2,29,"Education Administration",5,"","","",2,2,2,"England","0","",1,5,1,"Education Administration",2,3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6,6,2,14,20,18,24,18,6,NA,NA,NA,NA,NA,NA,30,15,15,20,10,10,8,8,8,8,7,NA,NA,NA,NA,NA,0,7,7,7,7,7,6,7,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,NA,NA,NA,NA,NA,NA,17,17,11,28,10,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,8,6,NA,NA,NA,NA,NA,0,1,1,NA,NA,18,18,18,18,10,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,7,NA,NA,NA,NA,NA
"335",29,9,0,17,2,2,16,9,NA,9,7,46,0,0.1,1,26,2,20,35,20,10,10,5,0,6,7,6,8,7,7,7,6,NA,22,"Social Work",11,"","","",2,4,5,"Washington, DC","22,151","61,152.00",1,6,1,"Social Work Administration",9,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,7,4,20,22,18,15,15,10,NA,NA,NA,NA,NA,NA,35,15,10,20,15,5,6,9,8,7,8,NA,NA,NA,NA,NA,1,8,6,6,5,NA,NA,7,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,2,NA,NA,NA,NA,NA,NA,35,20,15,20,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,6,7,7,NA,NA,NA,NA,NA,0,1,0,NA,NA,40,20,15,15,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,7,7,7,NA,NA,NA,NA,NA
